actor,object,optimal_behavior,stimuli_behavior,distance,distance_distances,mod,gp,optimal_behavior_first_word,optimal_behavior_rest,optimal_behavior_all,stimuli_behavior_first_word,stimuli_behavior_rest,stimuli_behavior_all,actor_object_pair
musician,musician,chat with,obey,6.9918,5.955194723,7,3,chats,with,chats with,obeies,NA,obeys,musician __________ musician
musician,musician,chat with,displease,17.7533,14.79439444,6,4,chats,with,chats with,displeases,NA,displeases,musician __________ musician
musician,nurse,joke with,criticize,12.5682,9.09925142,5,4,jokes,with,jokes with,criticizes,NA,criticizes,musician __________ nurse
musician,nurse,joke with,suspect,16.7531,12.18578585,4,3,jokes,with,jokes with,suspects,NA,suspects,musician __________ nurse
musician,nutritionist,chat with,observe,9.8213,10.90624379,3,2,chats,with,chats with,observes,NA,observes,musician __________ nutritionist
musician,nutritionist,chat with,lie to,23.6661,21.90665302,2,1,chats,with,chats with,lies,to,lies to,musician __________ nutritionist
musician,pediatrician,joke with,discredit,18.3477,15.71096523,1,1,jokes,with,jokes with,discredits,NA,discredits,musician __________ pediatrician
musician,pediatrician,joke with,frame,37.5518,33.5368485,16,2,jokes,with,jokes with,frames,NA,frames,musician __________ pediatrician
musician,surgeon,joke with,order,10.3097,10.37551524,15,3,jokes,with,jokes with,orders,NA,orders,musician __________ surgeon
musician,surgeon,joke with,evade,17.1389,12.18683119,14,4,jokes,with,jokes with,evades,NA,evades,musician __________ surgeon
musician,teacher,chat with,box,11.5097,10.24907377,13,4,chats,with,chats with,boxs,NA,boxs,musician __________ teacher
musician,teacher,chat with,unfriend,13.9477,14.04617461,12,3,chats,with,chats with,unfriends,NA,unfriends,musician __________ teacher
musician,technician,chat with,inspect,6.9947,5.862355997,11,2,chats,with,chats with,inspects,NA,inspects,musician __________ technician
musician,technician,chat with,disbelieve,10.5221,8.928934084,10,1,chats,with,chats with,disbelieves,NA,disbelieves,musician __________ technician
nurse,bailiff,dine with,applaud,7.6691,8.897071387,7,1,dines,with,dines with,applauds,NA,applauds,nurse __________ bailiff
nurse,bailiff,dine with,jest,10.8054,10.68881606,6,2,dines,with,dines with,jests,NA,jests,nurse __________ bailiff
nurse,civil engineer,dine with,obey,5.0899,6.080480664,5,3,dines,with,dines with,obeies,NA,obeys,nurse __________ civil engineer
nurse,civil engineer,dine with,hypnotize,7.4438,8.40220176,4,4,dines,with,dines with,hypnotizes,NA,hypnotizes,nurse __________ civil engineer
nurse,cook,reply to,malign,18.4981,19.13189125,3,4,replies,to,replies to,maligns,NA,maligns,nurse __________ cook
nurse,cook,reply to,chew out,22.1913,23.79140682,2,3,replies,to,replies to,chews,out,chews out,nurse __________ cook
nurse,crane operator,dine with,inspire,5.4506,5.236676673,1,2,dines,with,dines with,inspires,NA,inspires,nurse __________ crane operator
nurse,crane operator,dine with,tempt,13.7121,13.52899863,16,1,dines,with,dines with,tempts,NA,tempts,nurse __________ crane operator
nurse,defense attorney,dine with,bend,10.8315,10.41690678,15,1,dines,with,dines with,bends,NA,bends,nurse __________ defense attorney
nurse,defense attorney,dine with,sneer at,22.1189,21.13614516,14,2,dines,with,dines with,sneers,at,sneers at,nurse __________ defense attorney
nurse,dental hygienist,invite,evade,14.708,13.97225023,13,3,invites,NA,invites,evades,NA,evades,nurse __________ dental hygienist
nurse,dental hygienist,invite,desert,29.3578,28.75712513,12,4,invites,NA,invites,deserts,NA,deserts,nurse __________ dental hygienist
nurse,dentist,dine with,mortify,26.8094,27.33542046,11,4,dines,with,dines with,mortifies,NA,mortifies,nurse __________ dentist
nurse,dentist,dine with,haunt,26.1385,27.57805037,10,3,dines,with,dines with,haunts,NA,haunts,nurse __________ dentist
nurse,firefighter,chat with,obstruct,14.7641,16.79668276,9,2,chats,with,chats with,obstructs,NA,obstructs,nurse __________ firefighter
nurse,firefighter,chat with,double cross,26.4339,29.09011988,8,1,chats,with,chats with,doubles,cross,double crosses,nurse __________ firefighter
nurse,foreman,admire,elude,8.3977,8.469781832,5,1,admires,NA,admires,eludes,NA,eludes,nurse __________ foreman
nurse,foreman,admire,sicken,24.9761,25.1845557,4,2,admires,NA,admires,sickens,NA,sickens,nurse __________ foreman
nurse,musician,invite,flee,11.0657,10.60711636,3,3,invites,NA,invites,flees,NA,flees,nurse __________ musician
nurse,musician,invite,grapple with,12.4125,12.24457313,2,4,invites,NA,invites,grapples,with,grapples with,nurse __________ musician
nurse,nurse,reply to,alarm,9.5304,9.711154649,1,4,replies,to,replies to,alarms,NA,alarms,nurse __________ nurse
nurse,nurse,reply to,short change,27.1556,26.94729611,16,3,replies,to,replies to,shorts,change,shorts change,nurse __________ nurse
nurse,nutritionist,reply to,assess,5.8749,5.436894575,15,2,replies,to,replies to,assesss,NA,assesses,nurse __________ nutritionist
nurse,nutritionist,reply to,get even with,17.8465,17.97002194,14,1,replies,to,replies to,gets,even with,gets even with,nurse __________ nutritionist
nurse,pediatrician,reply to,befuddle,13.84,14.05497375,13,1,replies,to,replies to,befuddles,NA,befuddles,nurse __________ pediatrician
nurse,pediatrician,reply to,curse,25.4355,25.84941825,12,2,replies,to,replies to,curses,NA,curses,nurse __________ pediatrician
nurse,surgeon,eat with,borrow money from,17.975,15.50623573,11,3,eats,with,eats with,borrows,money from,borrows money from,nurse __________ surgeon
nurse,surgeon,eat with,yell at,22.5065,22.34620512,10,4,eats,with,eats with,yells,at,yells at,nurse __________ surgeon
nurse,teacher,reply to,tell off,13.4435,14.84466494,9,4,replies,to,replies to,tells,off,tells off,nurse __________ teacher
nurse,teacher,reply to,envy,29.0842,29.36297664,8,3,replies,to,replies to,envies,NA,envies,nurse __________ teacher
nurse,technician,invite,chide,12.6026,12.22096807,7,2,invites,NA,invites,chides,NA,chides,nurse __________ technician
nurse,technician,invite,baby,19.0793,18.16090109,6,1,invites,NA,invites,babies,NA,babies,nurse __________ technician
nutritionist,bailiff,turn to,detain,8.8109,9.865982083,3,1,turns,to,turns to,detains,NA,detains,nutritionist __________ bailiff
nutritionist,bailiff,turn to,undermine,19.1285,18.28966868,2,2,turns,to,turns to,undermines,NA,undermines,nutritionist __________ bailiff
nutritionist,civil engineer,dine with,reproach,10.0358,8.258205284,1,3,dines,with,dines with,reproachs,NA,reproaches,nutritionist __________ civil engineer
nutritionist,civil engineer,dine with,hound,18.8675,16.34289429,16,4,dines,with,dines with,hounds,NA,hounds,nutritionist __________ civil engineer
nutritionist,cook,dine with,confound,7.443,5.954790009,15,4,dines,with,dines with,confounds,NA,confounds,nutritionist __________ cook
nutritionist,cook,dine with,blabber to,18.768,15.50235392,14,3,dines,with,dines with,blabbers,to,blabbers to,nutritionist __________ cook
nutritionist,crane operator,turn to,beseech,7.5921,7.813167139,13,2,turns,to,turns to,beseechs,NA,beseeches,nutritionist __________ crane operator
nutritionist,crane operator,turn to,cut someone down to size,12.5242,13.40583896,12,1,turns,to,turns to,cuts,someone down to size,cuts someone down to size,nutritionist __________ crane operator
nutritionist,defense attorney,serve,rib,8.7053,11.35974719,11,1,serves,NA,serves,ribs,NA,ribs,nutritionist __________ defense attorney
nutritionist,defense attorney,serve,repulse,15.2506,19.2754566,10,2,serves,NA,serves,repulses,NA,repulses,nutritionist __________ defense attorney
nutritionist,dental hygienist,turn to,giggle at,5.1626,5.0385717,9,3,turns,to,turns to,giggles,at,giggles at,nutritionist __________ dental hygienist
nutritionist,dental hygienist,turn to,nag,21.5538,21.48254768,8,4,turns,to,turns to,nags,NA,nags,nutritionist __________ dental hygienist
nutritionist,dentist,turn to,follow,7.8285,8.513403048,7,4,turns,to,turns to,follows,NA,follows,nutritionist __________ dentist
nutritionist,dentist,turn to,shock,10.6916,11.52794554,6,3,turns,to,turns to,shocks,NA,shocks,nutritionist __________ dentist
nutritionist,firefighter,answer,save,9.9315,10.75910332,5,2,answers,NA,answers,saves,NA,saves,nutritionist __________ firefighter
nutritionist,firefighter,answer,demand,11.6665,13.74311024,4,1,answers,NA,answers,demands,NA,demands,nutritionist __________ firefighter
nutritionist,foreman,turn to,confront,5.1354,6.259159943,1,1,turns,to,turns to,confronts,NA,confronts,nutritionist __________ foreman
nutritionist,foreman,turn to,freakout,16.8492,17.53980515,16,2,turns,to,turns to,freakouts,NA,freakouts,nutritionist __________ foreman
nutritionist,musician,turn to,stare down,13.524,15.43993385,15,3,turns,to,turns to,stares,down,stares down,nutritionist __________ musician
nutritionist,musician,turn to,anger,20.4017,21.16575441,14,4,turns,to,turns to,angers,NA,angers,nutritionist __________ musician
nutritionist,nurse,answer,dispute,5.1816,6.265633553,13,4,answers,NA,answers,disputes,NA,disputes,nutritionist __________ nurse
nutritionist,nurse,answer,coerce,8.5504,10.3458702,12,3,answers,NA,answers,coerces,NA,coerces,nutritionist __________ nurse
nutritionist,nutritionist,answer,ban,12.9107,15.28129078,11,2,answers,NA,answers,bans,NA,bans,nutritionist __________ nutritionist
nutritionist,nutritionist,answer,enrage,20.2214,23.05065698,10,1,answers,NA,answers,enrages,NA,enrages,nutritionist __________ nutritionist
nutritionist,pediatrician,answer,drive out,10.7379,13.0512885,9,1,answers,NA,answers,drives,out,drives out,nutritionist __________ pediatrician
nutritionist,pediatrician,answer,needle,13.9493,15.19304737,8,2,answers,NA,answers,needles,NA,needles,nutritionist __________ pediatrician
nutritionist,surgeon,dine with,disturb,22.5334,20.43269416,7,3,dines,with,dines with,disturbs,NA,disturbs,nutritionist __________ surgeon
nutritionist,surgeon,dine with,repulse,22.787,21.25445951,6,4,dines,with,dines with,repulses,NA,repulses,nutritionist __________ surgeon
nutritionist,teacher,dine with,incriminate,15.0278,13.68081004,5,4,dines,with,dines with,incriminates,NA,incriminates,nutritionist __________ teacher
nutritionist,teacher,dine with,misinform,22.9745,20.83693074,4,3,dines,with,dines with,misinforms,NA,misinforms,nutritionist __________ teacher
nutritionist,technician,turn to,denounce,15.8734,16.93093281,3,2,turns,to,turns to,denounces,NA,denounces,nutritionist __________ technician
nutritionist,technician,turn to,shaft,21.2726,22.41611677,2,1,turns,to,turns to,shafts,NA,shafts,nutritionist __________ technician
pediatrician,bailiff,grin at,pooh pooh,17.5246,18.78409328,14,1,grins,at,grins at,poohs,pooh,poohes pooh,pediatrician __________ bailiff
pediatrician,bailiff,grin at,snub,20.0453,21.22842473,13,2,grins,at,grins at,snubs,NA,snubs,pediatrician __________ bailiff
pediatrician,civil engineer,acknowledge,demote,16.4102,16.48380677,12,3,acknowledges,NA,acknowledges,demotes,NA,demotes,pediatrician __________ civil engineer
pediatrician,civil engineer,acknowledge,mortify,28.961,29.3906981,11,4,acknowledges,NA,acknowledges,mortifies,NA,mortifies,pediatrician __________ civil engineer
pediatrician,cook,acknowledge,underrate,23.9466,24.14998665,10,4,acknowledges,NA,acknowledges,underrates,NA,underrates,pediatrician __________ cook
pediatrician,cook,acknowledge,fail,30.6106,30.81069159,9,3,acknowledges,NA,acknowledges,fails,NA,fails,pediatrician __________ cook
pediatrician,crane operator,explain something to,shun,23.7254,24.35836119,8,2,explains,something to,explains something to,shuns,NA,shuns,pediatrician __________ crane operator
pediatrician,crane operator,explain something to,dupe,24.7689,25.563923,7,1,explains,something to,explains something to,dupes,NA,dupes,pediatrician __________ crane operator
pediatrician,defense attorney,grin at,watch,7.9844,8.272216301,6,1,grins,at,grins at,watchs,NA,watches,pediatrician __________ defense attorney
pediatrician,defense attorney,grin at,order,12.347,13.60962876,5,2,grins,at,grins at,orders,NA,orders,pediatrician __________ defense attorney
pediatrician,dental hygienist,advise,bow to,9.0538,8.56890449,4,3,advises,NA,advises,bows,to,bows to,pediatrician __________ dental hygienist
pediatrician,dental hygienist,advise,disregard,25.9326,25.3609101,3,4,advises,NA,advises,disregards,NA,disregards,pediatrician __________ dental hygienist
pediatrician,dentist,treat,shush,15.0726,14.52953991,2,4,treats,NA,treats,shushs,NA,shushes,pediatrician __________ dentist
pediatrician,dentist,treat,scare,19.6274,19.45723205,1,3,treats,NA,treats,scares,NA,scares,pediatrician __________ dentist
